date,val,type
2003-12,1862.4,Nuclear
2003-12,2373.1,Termica
2004-1,38050.2,Hidreletrica
2004-1,1827.6,Nuclear
2004-1,2733.2,Termica
2004-2,39383.2,Hidreletrica
2004-2,1636.4,Nuclear
2004-2,2300.7,Termica
2004-3,41412.6,Hidreletrica
2004-3,982.1,Nuclear
2004-3,2271.3,Termica
2004-4,40548.4,Hidreletrica
2004-4,1243.2,Nuclear
2004-4,2594.5,Termica
2004-5,40229.5,Hidreletrica
2004-5,938.8,Nuclear
2004-5,2250.5,Termica
2004-6,39728.4,Hidreletrica
2004-6,1233.5,Nuclear
2004-6,2429.5,Termica
2004-7,40085.9,Hidreletrica
2004-7,1188.3,Nuclear
2004-7,2098.7,Termica
2004-8,40471.7,Hidreletrica
2004-8,1411.2,Nuclear
2004-8,2280.4,Termica
2004-9,40967.6,Hidreletrica
2004-9,1837.6,Nuclear
2004-9,2758.3,Termica
2004-10,40376.4,Hidreletrica
2004-10,1489.9,Nuclear
2004-10,2871.2,Termica
2004-11,41460.4,Hidreletrica
2004-11,1540.7,Nuclear
2004-11,2409.5,Termica
2004-12,42282.6,Hidreletrica
2004-12,533,Nuclear
2004-12,2332.5,Termica
2005-1,43076.2,Hidreletrica
2005-1,490.1,Nuclear
2005-1,2400.7,Termica
2005-2,44185.2,Hidreletrica
2005-2,535.5,Nuclear
2005-2,2125.2,Termica
2005-3,45162.6,Hidreletrica
2005-3,0.6,Nuclear
2005-3,2665.3,Termica
2005-4,43597.5,Hidreletrica
2005-4,1158.7,Nuclear
2005-4,2389.9,Termica
2005-5,41374.9,Hidreletrica
2005-5,1572.1,Nuclear
2005-5,2120.3,Termica
2005-6,41572.3,Hidreletrica
2005-6,1697,Nuclear
2005-6,1882.1,Termica
2005-7,40636.7,Hidreletrica
2005-7,1397.3,Nuclear
2005-7,2099.3,Termica
2005-8,41958.7,Hidreletrica
2005-8,1597.5,Nuclear
2005-8,2283.9,Termica
2005-9,41937.7,Hidreletrica
2005-9,1677.8,Nuclear
2005-9,2111.7,Termica
2005-10,42693.1,Hidreletrica
2005-10,1576.8,Nuclear
2005-10,2458.6,Termica
2005-11,42365.4,Hidreletrica
2005-11,1340.8,Nuclear
2005-11,2764.3,Termica
2005-12,43262,Hidreletrica
2005-12,445.1,Nuclear
2005-12,2623.4,Termica
2006-1,45211.9,Hidreletrica
2006-1,437.7,Nuclear
2006-1,2486.9,Termica
2006-2,45131,Hidreletrica
2006-2,1314.2,Nuclear
2006-2,2672.9,Termica
2006-3,46072.9,Hidreletrica
2006-3,1714.4,Nuclear
2006-3,2505.3,Termica
2006-3,0,Eolica
2006-4,44030.8,Hidreletrica
2006-4,1637.8,Nuclear
2006-4,1706.4,Termica
2006-4,0.5,Eolica
2006-5,2.3,Eolica
2006-5,42800.3,Hidreletrica
2006-5,1519.7,Nuclear
2006-5,2014.1,Termica
2006-6,11.7,Eolica
2006-6,43030.8,Hidreletrica
2006-6,1396.9,Nuclear
2006-6,1942.6,Termica
2006-7,24.1,Eolica
2006-7,42366.7,Hidreletrica
2006-7,1777.5,Nuclear
2006-7,2303.8,Termica
2006-8,37.4,Eolica
2006-8,43871.7,Hidreletrica
2006-8,1785.9,Nuclear
2006-8,2327.3,Termica
2006-9,50.8,Eolica
2006-9,42711.1,Hidreletrica
2006-9,1839.1,Nuclear
2006-9,2727.1,Termica
2006-10,69.1,Eolica
2006-10,43280.2,Hidreletrica
2006-10,1830.6,Nuclear
2006-10,2738.1,Termica
2006-11,66.1,Eolica
