Year;Month;Demand
2006;abr;29588
2006;mai;29375
2006;jun;28651
2006;jul;28406
2006;ago;29400
2006;set;29421
2006;out;29660
2006;nov;30645
2006;dez;30604
2007;jan;30670
2007;fev;30415
2007;mar;28708
2007;abr;32101
2007;mai;31567
2007;jun;30862
2007;jul;29512
2007;ago;30438
2007;set;30951
2007;out;31312
2007;nov;32765
2007;dez;32323
2008;jan;32325
2008;fev;32121
2008;mar;32161
2008;abr;32224
2008;mai;32501
2008;jun;31945
2008;jul;32508
2008;ago;33326
2008;set;33362
2008;out;34022
2008;nov;33766
2008;dez;31831
2009;jan;30827
2009;fev;30701
